pair,start,end,days,years,sharpe_gross,sharpe_net,max_dd,total_return,ann_return,ann_vol,ann_turnover,round_trips
CTG DUTY-FREE,2022-08-25,2026-08-17,1005,3.988095238095238,0.20172139503331582,-0.22970297598735692,-0.19404155060698147,-0.12635219070293013,-0.03330311480885828,0.11792459626149779,12.73304377232527,25
HAIER SMARTHOME,2021-01-04,2026-08-17,1422,5.642857142857143,1.82750874423475,0.7766382750518002,-0.07817849732628668,0.264850879546926,0.042516455368483586,0.05559230392422125,15.416248324100962,43
