window,start,end,days,years,sharpe_gross,sharpe_net,max_dd,total_return,ann_return,ann_vol,ann_turnover
full,2021-01-04,2026-08-17,1422,5.642857142857143,1.2371834847030978,0.38591738571587153,-0.10492189323027334,0.13418954115367954,0.02256547558162003,0.06289297359734339,13.904464404097451
in_sample,2021-01-04,2023-12-29,759,3.011904761904762,2.1166675363986687,1.2178549897556332,-0.018862230236219246,0.18902620913817159,0.05916773554776,0.04814444528095065,11.887345735035174
out_of_sample,2024-01-02,2026-08-17,663,2.630952380952381,0.6394647863887488,-0.197391523959393,-0.10492189323027268,-0.04611897329348047,-0.017786397607759907,0.07632234593081427,16.21365455465291
