book,start,end,days,years,sharpe_gross,sharpe_net,max_dd,total_return,ann_return,ann_vol,ann_turnover
"PIT-selected, OOS only",2024-01-02,2026-08-17,663,2.630952380952381,0.5444558639605136,-0.817872648399351,-0.11520988794651077,-0.09497827926394042,-0.03722124440678787,0.0451266800988969,15.355934147497184
CHINA MOBILE,2024-01-02,2026-08-17,663,2.630952380952381,0.5655620720578042,-0.7488108306759451,-0.08596971734508962,-0.0827033375456615,-0.032278619527354335,0.0426027092574872,13.780981311225709
SMIC,2024-01-02,2026-08-17,663,2.630952380952381,-0.0641713947926071,-0.5480681893099515,-0.2598144088455644,-0.19796259222522994,-0.08042895661298577,0.13572626764664328,16.4488677656254
WUXI APPTEC,2024-01-02,2026-08-17,663,2.630952380952381,0.49772554711734696,0.027056177351140295,-0.15818656997729397,-0.010522781025006367,-0.004012728782907593,0.1222561051220894,14.672802744076398
CPIC,2024-01-02,2026-08-17,663,2.630952380952381,0.007296545807613211,-0.523253514880081,-0.21398121638944023,-0.15695314189819765,-0.06283310025245104,0.11211480540283063,14.905060123349264
BEONE MEDICINES,2024-01-02,2026-08-17,663,2.630952380952381,-0.03408359182160569,-0.798686042406313,-0.23823897390840376,-0.18606378038449578,-0.07526722379021333,0.09255275255754,17.694374215297014
HAIER SMARTHOME,2024-01-02,2026-08-17,663,2.630952380952381,1.3777078769994937,0.2729079173968257,-0.07817849845308933,0.03420366236098227,0.012865151095604377,0.0517340448993105,14.63351872540933
